,trial_index,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
0,0,trial_0,,pre_onset,SSC,5.8575199999959295,6.1075199999959295,84.69151652137639,0.3227561159540097,0.0081830678332624,0.060912018416791454,103.15181585654888,291.24004817774187,2.9266132827563505
1,0,trial_0,,post_onset,SSC,6.1075199999959295,6.3575199999959295,-13.937823574935917,0.2611915246445724,0.006248640274868537,0.08419899016496643,74.62304826779143,311.85327040545485,3.669974938085844
2,0,trial_0,,pre_offset,SSC,7.3716759999949195,7.6216759999949195,-41.8718907719723,0.5984662575940439,0.0039292670616817545,0.1263273891556101,49.737316263537735,392.25530910142743,8.131527109064113
3,0,trial_0,,post_offset,SSC,7.6216759999949195,7.8716759999949195,96.23733681392505,0.18140826697307225,0.004397899749627174,0.11209803647085509,56.050806106788336,329.8089423835081,6.112415116741829
4,0,trial_0,,pre_onset,V1,5.8575199999959295,6.1075199999959295,-2.798215247827331,0.25668592479686986,0.003854486420914858,0.05662234607652649,110.9665307525002,127.08548924508085,0.8954292561456308
5,0,trial_0,,post_onset,V1,6.1075199999959295,6.3575199999959295,3.005368432496119,0.44815229245374905,0.0037091566672156737,0.05641008582109445,111.38407637078971,464.30905982301715,4.157709400654386
6,0,trial_0,,pre_offset,V1,7.3716759999949195,7.6216759999949195,159.07689207838914,0.6948497596881598,0.005197429724014104,0.04114969698742445,152.69092526002703,525.6058126008936,2.805626789879729
7,0,trial_0,,post_offset,V1,7.6216759999949195,7.8716759999949195,163.08629108736775,0.8454434144382312,0.019822400362600415,0.013079168909421623,480.39637309473636,1807.7193107169805,3.1188255597241117
8,0,trial_0,,pre_onset,M2,5.8575199999959295,6.1075199999959295,138.34282892190495,0.03972915486665275,0.001253159850419897,0.16325785781111687,38.486265784823615,343.41693721765915,8.515211334241663
9,0,trial_0,,post_onset,M2,6.1075199999959295,6.3575199999959295,97.98431813467053,0.39104219250504485,0.0021406769626163866,0.10178141946303167,61.732144632368,355.1208788511845,5.1471340294236105
10,0,trial_0,,pre_offset,M2,7.3716759999949195,7.6216759999949195,-64.59667445475884,0.23987550998404067,0.0012670263786805432,0.14654882381446965,42.87434824542897,454.5890568894767,10.745389640408527
11,0,trial_0,,post_offset,M2,7.6216759999949195,7.8716759999949195,-64.47894721097403,0.36007417306088707,0.0011949319261111168,0.16815356856678987,37.36575655653679,320.67558888655094,7.745528636301231
12,1,trial_1,,pre_onset,SSC,13.211991999991026,13.461991999991026,-48.914902484145244,0.3359837363853563,0.0057932396076031565,0.0720572442283403,87.19713575596877,468.37770667577655,3.814463165623191
13,1,trial_1,,post_onset,SSC,13.461991999991026,13.711991999991026,-117.93919956946183,0.3789102694308045,0.006073799808713768,0.0870524367461828,72.17701815170727,150.2273332030624,2.5056932893110178
14,1,trial_1,,pre_offset,SSC,14.738871999990009,14.988871999990009,-95.35634859002448,0.13469046532976578,0.005270294145168018,0.050867433238198236,123.52078544551586,293.8485952604411,2.5089041819345783
15,1,trial_1,,post_offset,SSC,14.988871999990009,15.238871999990009,-170.4867675639033,0.492877043524065,0.0026083774690527544,0.14551656077850106,43.17848960671615,317.5571236927295,6.073155386013302
16,1,trial_1,,pre_onset,V1,13.211991999991026,13.461991999991026,152.57883948262017,0.2536863631986969,0.002664397986133357,0.06641676031063451,94.60240574506818,86.98861979112831,0.857605138777378
17,1,trial_1,,post_onset,V1,13.461991999991026,13.711991999991026,-162.68201322016523,0.42617100557489845,0.003231049800813307,0.06802901256755331,92.36037787466542,864.1100472093108,8.834712150101394
18,1,trial_1,,pre_offset,V1,14.738871999990009,14.988871999990009,156.81177741658473,0.7228388397886489,0.003009000920240315,0.053184693063052374,118.13897844123389,155.68538443666705,1.1131059237057406
19,1,trial_1,,post_offset,V1,14.988871999990009,15.238871999990009,-178.0957117270287,0.8886076831461651,0.020041117768619807,0.013378971500125025,469.6314142773135,1829.2849150626098,3.147792876881968
20,1,trial_1,,pre_onset,M2,13.211991999991026,13.461991999991026,-164.44400683622987,0.5809745018408893,0.0010553158408096739,0.14449313033038147,43.48431854727746,524.280530707017,12.515942171845566
21,1,trial_1,,post_onset,M2,13.461991999991026,13.711991999991026,27.845398115484677,0.06681436713534916,0.0009074831638935249,0.16120072383918568,38.97740132635949,323.76608984127733,8.657959464624719
22,1,trial_1,,pre_offset,M2,14.738871999990009,14.988871999990009,17.42922500137306,0.7434774779032696,0.0020020079140069987,0.07084566216381886,88.68835600196326,396.4017102675604,5.23121483529625
