,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
0,cfm002mjr/20240510/meas00/trial007,HC Hit (3),pre_onset,SSC,66.37199698592508,66.62199698592508,3.5121846963601837,0.2155302269136062,0.00893687662098501,0.057299387140706134,109.65536667522122,380.3788117373921,3.2814825393969063
1,cfm002mjr/20240510/meas00/trial007,HC Hit (3),post_onset,SSC,66.62199698592508,66.87199698592508,79.01401788932036,0.11747778044285877,0.004487144771837132,0.09367775076665363,67.07233313949511,218.42653486824693,3.0753207684402453
2,cfm002mjr/20240510/meas00/trial007,HC Hit (3),pre_offset,SSC,66.92399698592509,67.17399698592509,-89.40632878928703,0.2451602844296894,0.004667143567989763,0.09005167482756933,69.77387310294394,229.7909230119886,3.134616982616488
3,cfm002mjr/20240510/meas00/trial007,HC Hit (3),post_offset,SSC,67.17399698592509,67.42399698592509,-98.97151570557295,0.33940191092276123,0.004201432731907816,0.10770953925607643,58.33452961154618,304.3835845127653,4.453390496211098
4,cfm002mjr/20240510/meas00/trial007,HC Hit (3),pre_onset,V1,66.37199698592508,66.62199698592508,-130.63250254159615,0.16197746006646088,0.002994050165222632,0.12175569901791074,51.60485593578092,403.89578826416664,7.569498179708925
5,cfm002mjr/20240510/meas00/trial007,HC Hit (3),post_onset,V1,66.62199698592508,66.87199698592508,-132.0206433616895,0.08396858564403095,0.0020219427351245932,0.15222088742085724,41.27676177453862,446.7286942688949,10.01825471930826
6,cfm002mjr/20240510/meas00/trial007,HC Hit (3),pre_offset,V1,66.92399698592509,67.17399698592509,89.7076892496391,0.3816793130869189,0.0032921322069106133,0.11585755641398462,54.232322722308496,309.3470010171853,5.037314165678948
7,cfm002mjr/20240510/meas00/trial007,HC Hit (3),post_offset,V1,67.17399698592509,67.42399698592509,-173.6472662830331,0.25945110526365905,0.0037970435046751137,0.1034427129423937,60.74072429518196,509.89424455505315,8.86474473082043
8,cfm002mjr/20240510/meas00/trial009,MC Miss (5),pre_onset,SSC,137.31199698592508,137.56199698592508,145.52864353555788,0.6093400498552106,0.0036550609398612183,0.1380784646600434,45.50445518531167,290.1214936906516,5.826671526895886
9,cfm002mjr/20240510/meas00/trial009,MC Miss (5),post_onset,SSC,137.56199698592508,137.81199698592508,134.97488447651784,0.31146231664293195,0.004288349846660775,0.12988603134256846,48.3747634462877,542.737486113045,11.172824773173271
10,cfm002mjr/20240510/meas00/trial009,MC Miss (5),pre_offset,SSC,137.82099698592506,138.07099698592506,-161.6337340149283,0.4441433715700182,0.014572726195672112,0.03730615963713925,168.42219537720823,504.51139012379605,3.0007323433050708
11,cfm002mjr/20240510/meas00/trial009,MC Miss (5),post_offset,SSC,138.07099698592506,138.32099698592506,-138.62134008670128,0.1807813712160142,0.004761163665477406,0.08675207304707923,72.4516046688121,299.55186950166814,3.899479139232813
12,cfm002mjr/20240510/meas00/trial009,MC Miss (5),pre_onset,V1,137.31199698592508,137.56199698592508,151.8096231429118,0.6701053374121022,0.004452911728850357,0.08377895714909396,74.99717734607223,265.2647654650655,3.1573042790412544
13,cfm002mjr/20240510/meas00/trial009,MC Miss (5),post_onset,V1,137.56199698592508,137.81199698592508,145.1894893430119,0.31581646756167625,0.004251959991256686,0.1335441532352018,47.054122722565026,321.69861075570867,5.631948066256667
14,cfm002mjr/20240510/meas00/trial009,MC Miss (5),pre_offset,V1,137.82099698592506,138.07099698592506,-116.76175337421358,0.7249360310194161,0.006898003331385572,0.08571580428053724,73.30252991170096,206.60086080901075,2.762411088360657
15,cfm002mjr/20240510/meas00/trial009,MC Miss (5),post_offset,V1,138.07099698592506,138.32099698592506,-178.12187777424037,0.6475398988322567,0.003872831946814458,0.08538423984374202,73.60485141245519,164.70254323155606,3.7003634249329465
16,cfm002mjr/20240510/meas00/trial010,MC Hit (2),pre_onset,SSC,144.5059969859251,144.7559969859251,117.44526720465942,0.35108566250995143,0.0039387934825997825,0.13132493355617156,47.844572519749896,480.33064963961687,8.839234709100431
17,cfm002mjr/20240510/meas00/trial010,MC Hit (2),post_onset,SSC,144.7559969859251,145.0059969859251,-168.3952509739365,0.24015932403314358,0.0042059483293188215,0.10685963393813794,58.83050725009812,473.14836364284304,8.672443278544673
18,cfm002mjr/20240510/meas00/trial010,MC Hit (2),pre_offset,SSC,145.0129969859251,145.2629969859251,-95.2209011911893,0.2968153391370981,0.004063900701411368,0.11526848123570002,54.50913588712756,254.2913589305348,4.8820495320829895
19,cfm002mjr/20240510/meas00/trial010,MC Hit (2),post_offset,SSC,145.2629969859251,145.5129969859251,-31.536902310850888,0.34917720948760705,0.004345443771303809,0.10689946205769871,58.776584897950684,409.404269509463,6.778631283436056
20,cfm002mjr/20240510/meas00/trial010,MC Hit (2),pre_onset,V1,144.5059969859251,144.7559969859251,140.45129615466197,0.1744161814645674,0.0027245431696782773,0.132467989980685,47.431725265067655,294.465378577232,7.011399360968621
21,cfm002mjr/20240510/meas00/trial010,MC Hit (2),post_onset,V1,144.7559969859251,145.0059969859251,149.9220582634416,0.09952265002752404,0.0034364174094947846,0.1277820053513477,49.17114561033263,329.5412612786545,5.157068199920912
22,cfm002mjr/20240510/meas00/trial010,MC Hit (2),pre_offset,V1,145.0129969859251,145.2629969859251,-31.908395666665662,0.5922903126430453,0.0027476266371572397,0.11612766841580936,54.105842241505016,269.7985720213559,4.337004777459302
23,cfm002mjr/20240510/meas00/trial010,MC Hit (2),post_offset,V1,145.2629969859251,145.5129969859251,-78.12685397633726,0.30937611502621937,0.003238494529981009,0.11283510036860643,55.684669811555615,245.39199482020265,4.055666565787723
24,cfm002mjr/20240510/meas00/trial012,MC Miss (5),pre_onset,SSC,162.77999698592507,163.02999698592507,-84.00962994008992,0.6826545673226628,0.0057613570880265695,0.09732465500527021,64.57415672142454,241.7231238720948,3.4718563063992423
25,cfm002mjr/20240510/meas00/trial012,MC Miss (5),post_onset,SSC,163.02999698592507,163.27999698592507,-63.975578133063884,0.5780263610659555,0.005197661434153271,0.11633093439241746,54.01130266851127,346.89147830254547,6.54395456181647
26,cfm002mjr/20240510/meas00/trial012,MC Miss (5),pre_offset,SSC,163.31399698592506,163.56399698592506,-32.8003076712435,0.4869960631281644,0.007778857692843831,0.06470224377867091,97.10926781912048,299.53390638833855,2.8575730222677276
27,cfm002mjr/20240510/meas00/trial012,MC Miss (5),post_offset,SSC,163.56399698592506,163.81399698592506,-44.081789470490705,0.5538957108799221,0.005816026248449894,0.09134694784526126,68.78374653330614,238.28567198611773,3.1957078788299254
28,cfm002mjr/20240510/meas00/trial012,MC Miss (5),pre_onset,V1,162.77999698592507,163.02999698592507,-166.75249434317075,0.38849430370854054,0.0029619586942961308,0.11717170357557373,53.62374657449478,364.2590269329742,6.911123082893214
29,cfm002mjr/20240510/meas00/trial012,MC Miss (5),post_onset,V1,163.02999698592507,163.27999698592507,-175.26202619578947,0.33858215701456706,0.0023079287810070332,0.13456890851755463,46.69121104121863,450.42011011917293,9.646785767058937
30,cfm002mjr/20240510/meas00/trial012,MC Miss (5),pre_offset,V1,163.31399698592506,163.56399698592506,173.53830356188627,0.36045568955772933,0.002168142034757202,0.14017052961370796,44.82595304033032,327.106814728631,6.5318518226426665
31,cfm002mjr/20240510/meas00/trial012,MC Miss (5),post_offset,V1,163.56399698592506,163.81399698592506,95.81127797856499,0.29041247500545336,0.002307415352654372,0.14700161454497052,42.74228774036658,452.42485410267966,10.947485051850945
32,cfm002mjr/20240510/meas00/trial014,HC Hit (3),pre_onset,SSC,173.60999698592508,173.85999698592508,51.000820400293655,0.1639026772323221,0.0037384196346991563,0.11178961007524471,56.20544970995447,373.01025816520837,6.6111627794748395
33,cfm002mjr/20240510/meas00/trial014,HC Hit (3),post_onset,SSC,173.85999698592508,174.10999698592508,-175.83844508629073,0.44871992998137933,0.0034062322088683323,0.14006094669241287,44.86036583044135,367.03246828100526,7.738864746625877
34,cfm002mjr/20240510/meas00/trial014,HC Hit (3),pre_offset,SSC,174.12599698592507,174.37599698592507,-85.78238074699541,0.22355507430057084,0.005226707519774107,0.09753192291578608,64.42183358370573,274.3429025957109,3.9194713367752456
35,cfm002mjr/20240510/meas00/trial014,HC Hit (3),post_offset,SSC,174.37599698592507,174.62599698592507,-160.09382320998486,0.4926238756298507,0.004864567066659069,0.09251011357701827,67.91890166634148,281.11143282114404,3.557006488821226
36,cfm002mjr/20240510/meas00/trial014,HC Hit (3),pre_onset,V1,173.60999698592508,173.85999698592508,-119.81543799561116,0.3266289813788994,0.0020136609445115276,0.1500884560204402,41.86321502517085,409.8822708752907,11.566361033101849
37,cfm002mjr/20240510/meas00/trial014,HC Hit (3),post_onset,V1,173.85999698592508,174.10999698592508,166.39823881829622,0.23486720243096718,0.0021246952605371242,0.1490327406648611,42.15976488890426,485.4973755832658,11.793816511017289
