event_id,trial_id,t_start,t_end,duration_s,stage,theta_deg,R,n_frames,mean_amp,mean_freq_hz,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,iqr_amp,iqr_freq_hz,iqr_k_rad_per_px,iqr_lambda_px,iqr_speed_px_s,n_valid_frames,trial_type
cfm002mjr/20240517/meas00/trial001/1,cfm002mjr/20240517/meas00/trial001,0.0,0.2735659999998177,0.2735659999998177,pre,156.79383244982543,0.6910330566357167,43,0.012800101091952655,2.228492673187368,0.05690014686014828,110.42476432657863,269.9857634386574,0.0017585201673601582,1.3054477801014799,0.012298484510041986,26.184392570504485,123.03612895331418,42,HC Hit (3)
cfm002mjr/20240517/meas00/trial001/2,cfm002mjr/20240517/meas00/trial001,0.45806399999969466,0.5598559999996269,0.10179199999993221,pre,24.05631489744561,0.3780951824293566,16,0.004171419201106471,7.991763663035087,0.17180492320208857,36.574193847991936,313.8858734841641,0.0033798723545696964,0.3689349851968782,0.025593350770147183,6.295813818159274,48.987672624427375,15,HC Hit (3)
cfm002mjr/20240517/meas00/trial001/3,cfm002mjr/20240517/meas00/trial001,0.7125439999995251,0.871593999999419,0.1590499999998939,pre,100.1742693364631,0.5748777110267462,25,0.004108014171537077,3.257105637053575,0.12953630913766112,48.50520559839562,164.01744537420393,0.00026376327744738817,2.620057123320073,0.0196238803783549,7.470418025463687,151.03111708204776,24,HC Hit (3)
cfm002mjr/20240517/meas00/trial001/4,cfm002mjr/20240517/meas00/trial001,1.1960559999992029,1.4505359999990333,0.2544799999998304,stim,17.36801008144382,0.5912242483503778,40,0.007567623228007105,4.309500190476576,0.09241565770054758,68.01233188269624,285.73593582769746,0.00362516168044065,1.6342798422434672,0.055710450524797464,32.82303376623281,59.7104634855383,39,HC Hit (3)
cfm002mjr/20240517/meas00/trial001/5,cfm002mjr/20240517/meas00/trial001,1.7050159999988634,1.9404099999987066,0.23539399999984312,post,-169.7650670289079,0.18259227090796304,37,0.003212117982732734,6.156808426495745,0.18396525281359583,34.15419602932338,219.92369278869,0.0014562723942892373,1.6680687912681549,0.051260528036489755,10.53203611030279,22.572603827644883,36,HC Hit (3)
cfm002mjr/20240517/meas00/trial002/1,cfm002mjr/20240517/meas00/trial002,0.1081539999999279,0.47714999999968194,0.368995999999754,pre,111.88798468185216,0.6048723904888219,58,0.008362248896614032,3.0996659191195604,0.062414303801644117,100.66899616549243,236.3447782980876,0.003969392608626329,1.5617730828709453,0.03496467417586881,38.64184018530926,80.4263748604034,57,Correct Rejection (4)
cfm002mjr/20240517/meas00/trial002/2,cfm002mjr/20240517/meas00/trial002,0.47714999999968194,0.6043899999995972,0.12723999999991525,pre,-141.648694658724,0.4053869882237881,20,0.002870549517075208,7.786248594406604,0.1653784908447572,37.99277215378837,295.6536605688048,0.0011837719748771128,5.398127956963279,0.05035721606654418,15.515261855738288,119.64887022533804,19,Correct Rejection (4)
cfm002mjr/20240517/meas00/trial002/3,cfm002mjr/20240517/meas00/trial002,0.820697999999453,1.0179199999993216,0.19722199999986856,pre,135.82817135028728,0.7892906414896438,31,0.006308680510132615,6.292002834045929,0.11024823900520334,56.991253228843334,321.5322913679646,0.00515414320082897,1.7353754849778982,0.05449200037549051,33.228074871540784,245.52248952983035,30,Correct Rejection (4)
cfm002mjr/20240517/meas00/trial002/4,cfm002mjr/20240517/meas00/trial002,1.189693999999207,1.4123639999990587,0.2226699999998516,stim,-103.95971002154594,0.5248300401886208,35,0.005919944919848862,4.308216518964329,0.11453373467222915,54.85881801689876,317.56309920159447,0.003206840491538382,3.9628480556979713,0.0425782619802795,22.416295882250466,300.3752246752577,34,Correct Rejection (4)
cfm002mjr/20240517/meas00/trial002/5,cfm002mjr/20240517/meas00/trial002,1.5014319999989993,1.768635999998821,0.2672039999998217,post,-122.41214712170984,0.5603911446622863,42,0.004254640666450337,2.5180732559593144,0.1445531541469657,43.46681780868966,112.05210190499032,0.0018370413114874337,1.611648977147957,0.021568461846783904,6.4543650458867745,87.60257940092443,41,Correct Rejection (4)
