,trial_index,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
0,0,trial_0,,pre_onset,SSC,3.1727559999977184,3.4227559999977184,-111.27112240156082,0.5549519551112877,0.04340482597246386,0.018864882598275557,333.06251838290973,1071.4723166311603,4.18140907712211
1,0,trial_0,,post_onset,SSC,3.4227559999977184,3.6727559999977184,157.5365117916058,0.5233918877222704,0.03120037889238582,0.01745282873600932,360.00956648453706,1121.553189837361,3.3126002149862064
2,0,trial_0,,pre_offset,SSC,4.705997999996697,4.955997999996697,126.37842332246417,0.928965335915062,0.04240296815788324,0.01815424261696037,346.1001067215881,1204.9417775281265,3.563717438993283
3,0,trial_0,,post_offset,SSC,4.955997999996697,5.205997999996697,152.02455580173958,0.30002604944422195,0.012711895232267435,0.06988283797659664,89.91027681623045,543.7112156688229,3.7612247800827943
4,0,trial_0,,pre_onset,V1,3.1727559999977184,3.4227559999977184,108.52002283316291,0.43087921279154445,0.006082491629850379,0.03125393654793288,201.03660534228456,120.32930039196724,0.9221269679521604
5,0,trial_0,,post_onset,V1,3.4227559999977184,3.6727559999977184,-153.6670510229318,0.4451381316207597,0.007901492591152718,0.04929465865441018,127.46178751797599,410.72538716368757,3.222341339797724
6,0,trial_0,,pre_offset,V1,4.705997999996697,4.955997999996697,121.66997717642941,0.39175693794579813,0.0037391784288139697,0.08534810902304873,73.61833061213784,367.2167109185151,3.2647704660231964
7,0,trial_0,,post_offset,V1,4.955997999996697,5.205997999996697,-170.2894522205908,0.6598616684134502,0.024185032790890668,0.012725228033024855,493.75817005976586,1586.1633307090929,2.835904544715042
8,0,trial_0,,pre_onset,M2,3.1727559999977184,3.4227559999977184,-99.82301678445076,0.11707294363247867,0.008475637924264172,0.04168064476125275,150.7458760095903,738.976990199993,5.2433161312712055
9,0,trial_0,,post_onset,M2,3.4227559999977184,3.6727559999977184,-178.62740872408435,0.4454319012933286,0.004588498769093533,0.06313500239439175,99.51983953259054,380.62079596609055,4.9540862896674485
10,0,trial_0,,pre_offset,M2,4.705997999996697,4.955997999996697,72.5939727624292,0.37221845152950767,0.0031229675746252423,0.0871157678127573,72.12454719660373,324.91166752748086,4.608528314268895
11,0,trial_0,,post_offset,M2,4.955997999996697,5.205997999996697,-18.274021811370034,0.2928732663775555,0.004582700858117811,0.09225494591512255,68.10675834074321,387.63053715917226,6.316885751052605
12,1,trial_1,,pre_onset,SSC,9.223017999993687,9.473017999993687,129.74471272435682,0.33753053529801924,0.0045638496460077066,0.058296005625226,107.78071738864918,421.8172708542793,4.2523013534855245
13,1,trial_1,,post_onset,SSC,9.473017999993687,9.723017999993687,-88.2905306118185,0.2516509530289182,0.002086970508245076,0.12789565665382566,49.12743303071068,357.95433295008604,6.494642196003843
14,1,trial_1,,pre_offset,SSC,10.756259999992665,11.006259999992665,-93.05531211181123,0.3018994835589877,0.006678553118748499,0.04553278061969222,137.9925675890351,452.19605175206897,3.7393240011300946
15,1,trial_1,,post_offset,SSC,11.006259999992665,11.256259999992665,106.08800088395198,0.49640239816908754,0.0025774100601124983,0.12591341505056416,49.9008410236224,447.7029339742086,8.522611090526883
16,1,trial_1,,pre_onset,V1,9.223017999993687,9.473017999993687,47.234516483046484,0.37704053537378435,0.002931467675383765,0.05396960117495861,116.4208215437939,269.4471689992068,2.3098587404902844
17,1,trial_1,,post_onset,V1,9.473017999993687,9.723017999993687,-141.41061093681301,0.4513946203007034,0.003079710127062393,0.07483332334887383,83.96239838082967,203.61928934961384,2.343828806726469
18,1,trial_1,,pre_offset,V1,10.756259999992665,11.006259999992665,97.34079863447104,0.411275426930075,0.001613782462778347,0.16101263733554796,39.022932678790426,341.7254770296048,8.588404710772567
19,1,trial_1,,post_offset,V1,11.006259999992665,11.256259999992665,8.847259798780417,0.6294005696396286,0.007482246699760803,0.060151653435633154,104.45573726253548,621.9963381425939,5.561365684012545
20,1,trial_1,,pre_onset,M2,9.223017999993687,9.473017999993687,-70.48619039631642,0.261147088965243,0.0014703470259129646,0.11497677669986688,54.647429572504805,420.39922248793454,8.05087490918099
21,1,trial_1,,post_onset,M2,9.473017999993687,9.723017999993687,74.48963899395034,0.28099787600483805,0.001149524725945606,0.1431472754058521,43.8931533231454,286.7536446104183,6.310902237420156
22,1,trial_1,,pre_offset,M2,10.756259999992665,11.006259999992665,151.814006046017,0.2681880557360124,0.0012435677355657096,0.15634426381421657,40.18814092626946,327.00029753422444,9.788411019411638
23,1,trial_1,,post_offset,M2,11.006259999992665,11.256259999992665,112.32151875418602,0.1186709651630601,0.0015187529953266006,0.12115087363840414,51.862484507811686,437.4856592951513,6.909279192968194
24,2,trial_2,,pre_onset,SSC,14.986989999989843,15.236989999989843,-116.48864511708254,0.6847364136698985,0.006873447499450261,0.0802943282909001,78.2519194184687,453.5835452320717,6.628850707598734
25,2,trial_2,,post_onset,SSC,15.236989999989843,15.486989999989843,-135.98465682011414,0.6005831297465267,0.014531857135167416,0.03175873732084356,197.84115607946012,1275.7697911962362,5.281257386252084
26,2,trial_2,,pre_offset,SSC,16.501145999988836,16.751145999988836,-166.36056970944153,0.7645600351150234,0.007211249080440202,0.046866100113682384,134.06674103325346,274.7456012359949,2.781778376525732
27,2,trial_2,,post_offset,SSC,16.751145999988836,17.001145999988836,-173.91177874702177,0.17653257910279502,0.006477198086818023,0.07516742062707031,83.58920998969067,466.1262306391776,6.533801044100344
28,2,trial_2,,pre_onset,V1,14.986989999989843,15.236989999989843,-22.488286591466625,0.7105094083490235,0.005981831476902941,0.037442782890389915,167.80764735284225,261.6024890922922,1.7553367190409257
29,2,trial_2,,post_onset,V1,15.236989999989843,15.486989999989843,-170.63632748615925,0.698125284840867,0.008372438239910096,0.043275115380591596,145.1916477153409,699.2082313942303,4.973704714048229
30,2,trial_2,,pre_offset,V1,16.501145999988836,16.751145999988836,127.17473668119227,0.43453762205816304,0.0024211455432258853,0.09327262130974907,67.36366169353978,326.87248618899025,5.423691766253331
31,2,trial_2,,post_offset,V1,16.751145999988836,17.001145999988836,-166.19305193899092,0.7355241544923783,0.021580262564567874,0.020809154905387327,301.94331945469435,958.2979053363317,3.0611631237900836
32,2,trial_2,,pre_onset,M2,14.986989999989843,15.236989999989843,-154.1226984792069,0.1566182202413024,0.0019820918018343524,0.08671609880560292,72.45696466656103,609.7940270419564,8.210468246113276
33,2,trial_2,,post_onset,M2,15.236989999989843,15.486989999989843,-29.015816752799086,0.31728901063711107,0.0022137905948940062,0.08451135824902344,74.34722902766967,558.7173312062853,7.579568008450842
34,2,trial_2,,pre_offset,M2,16.501145999988836,16.751145999988836,-135.94832673873685,0.05127166945824371,0.0022323994898916823,0.057105808496915114,110.02707907583529,305.88093270725915,3.334027087376981
35,2,trial_2,,post_offset,M2,16.751145999988836,17.001145999988836,-150.75416550259015,0.1310363905854912,0.0070758940721403875,0.022980703826591134,273.41135217578795,1049.7511777973546,3.644456284347844
36,3,trial_3,,pre_onset,SSC,19.936625999986546,20.186625999986546,175.04100711259483,0.31497981303699396,0.0035234097945073452,0.11998270997349564,52.36742284423774,431.6474669603714,7.20685927216045
37,3,trial_3,,post_onset,SSC,20.186625999986546,20.436625999986546,-137.16381581313215,0.427407927276919,0.005359207834681416,0.0656093366336504,95.76663367690568,224.88458660819853,2.542987502157767
38,3,trial_3,,pre_offset,SSC,21.469867999985524,21.719867999985524,148.34094834678115,0.5475893015898727,0.004566617739511122,0.0808882162080117,77.67738740859089,451.67469360697385,5.898956184227078
39,3,trial_3,,post_offset,SSC,21.719867999985524,21.969867999985524,-41.20495234878016,0.6261574792249004,0.0038314774824705954,0.09381897587433645,66.97136958300895,275.7552345779627,3.7507157071679016
40,3,trial_3,,pre_onset,V1,19.936625999986546,20.186625999986546,-179.13216695611064,0.6339518677079253,0.004636920445464307,0.03706417914902684,169.52177146339304,111.77091677504917,0.6285437322215492
41,3,trial_3,,post_onset,V1,20.186625999986546,20.436625999986546,-151.14476431560135,0.6528960157098769,0.005925153498317476,0.04541136459899831,138.3615172691415,529.209041140511,3.5430134990855535
