AnimalCode,Date,TrialID,TrialType,Time,Duration,Contrast,PerceptualCat,ReactTime,Rewarded?,Enticed?,Seen?,Consume?,Attrition?,Recording,EngagementScore,EngagementScore_S20,MovieFile
cfm001mjr,240506,240506_1_001,HC No Report (9),3.198,0.5289999999999999,0.06,3,11.879999999999999,0,0,0,0,1,1,0,0,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_002,LC No Report (7),6.353,0.5220000000000002,0.023,1,8.725,0,0,0,0,1,1,0,0,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_003,LC No Report (7),10.228,0.532,0,1,4.85,0,0,0,0,1,1,0,0.05714285714285714,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_004,Error (0),14.599,0.520999999999999,0.024,1,0.4789999999999992,1,1,1,1,1,1,0.2857142857142857,0.08673469387755102,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_005,LC No Report (7),43.217,0.5500000000000043,0.023,1,4.463999999999999,0,0,0,0,1,1,0,0.13095238095238093,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_006,LC No Report (7),46.886,0.5269999999999939,0.025,1,0.7949999999999946,0,0,0,0,1,1,0.03571428571428571,0.10714285714285712,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_007,Error (0),53.788,0.5560000000000045,0.045,2,0.4380000000000024,1,1,1,1,1,1,0.2857142857142857,0.1456043956043956,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_008,Error (0),80.268,0.5240000000000009,0.023,1,0.3930000000000007,1,1,1,1,1,1,0.2857142857142857,0.13095238095238096,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_009,Error (0),84.838,0.5520000000000067,0.045,2,0.17600000000000193,1,0,0,1,1,1,0.2857142857142857,0.11764705882352941,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_010,LC No Report (7),94.805,0.5289999999999964,0.023,1,7.216999999999999,0,0,0,0,1,1,0,0.10902255639097744,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_011,MC No Report (8),97.909,0.5279999999999916,0.045,2,4.1129999999999995,0,0,0,0,1,1,0,0.12781954887218044,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_012,Error (0),101.605,0.512999999999991,0.025,1,0.4170000000000016,1,1,1,1,1,1,0.2857142857142857,0.14661654135338345,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_013,Error (0),121.121,0.5600000000000023,0.024,1,0.4380000000000024,1,1,1,1,1,1,0.42857142857142855,0.14661654135338345,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_014,Correct Rejection (4),161.792,0.5409999999999968,0.022,1,0.6839999999999975,0,0,1,0,0,1,0.03571428571428571,0.14849624060150377,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_015,Correct Rejection (4),169.396,0.5270000000000152,0.025,1,0.785000000000025,0,0,0,0,0,1,0.03571428571428571,0.16541353383458648,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
cfm001mjr,240506,240506_1_016,Correct Rejection (4),184.973,0.5689999999999884,0.024,1,4.068999999999988,0,0,0,0,0,1,0,0.16541353383458646,N:/GEVI_Wave/Analysis/Visual/cfm001mjr/20240506/meas01/cG_unmixed_dFF.h5
